Date;Time(UTC);ID;Type ;"Type;Parameters;model;S/N";Comments;Operator;miscellaneous
19.06.2019;09:30:00;1;;;Temp chain;Sebastien Lavanchy;
20.06.2019;15:45:00;1;Installation;"Temperature string 20m;24 x temperature;RBR concerto T24;62944";Temp chain installation;Sébastien Lavanchy;
20.06.2019;15:45:00;1;Installation;"Temperature string 70m;24 x temperature;RBR concerto T24;62955";Temp chain installation;Sébastien Lavanchy;
11.08.2019;11:31:00;2;Issue;"Temperature string 70m;24 x temperature;RBR concerto T24;62955";cable broken;Sébastien Lavanchy;
05.09.2019;02:34:00;3;Issue;"all;;;";Rope broke, mooring down;Sébastien Lavanchy;
14.09.2019;15:00:00;3;Cleaning;"all;;;";cleaning after recovery;Sébastien Lavanchy;
14.10.2019;09:24:00;3;;;Saving the temp chain;Sébastien LAvanchy;
24.10.2019;14:36:00;3;Installation;"all;;;";Redeploy;Sébastien Lavanchy;
24.10.2019;11:38:00;3;;;Temp chain deploy;Sebastien Lavanchy;
11.12.2019;09:25:00;4;;;repair temp chain;Sebastien Lavanchy;
08.01.2020;11:22:00;5;Issue;"Temperature string 20m;24 x temperature;RBR concerto T24;62944";mooring Issue;Sébastien Lavanchy;
08.01.2020;11:22:00;5;Issue;"Temperature string 70m;24 x temperature;RBR concerto T24;62955";mooring Issue;Sébastien Lavanchy;
16.04.2020;10:09:00;6;;;Temp Chain Corona Maintenance;Sébastien Lavanchy;
14.04.2021;15:00:00;7;Installation;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";New temperature chain;Aurélien Ballu;
14.04.2021;13:00:00;7;Out of order;"Temperature string 70m;24 x temperature;RBR concerto T24;62955";Out of order;Sébastien Lavanchy;
14.04.2021;09:41:00;7;;;changement thermistor chain;Ballu;
12.05.2021;09:00:00;8;;;Repair tempchain;Sebastien Lavanchy;
28.05.2021;09:30:00;8;;;repair temp chain;Sébastien Lavanchy;
12.11.2021;11:30:00;9;;;try to repair T chain;;
18.11.2021;10:00:00;9;;;Tchain repairing;;
26.10.2022;09:30:00;10;;;Temperature chain troubleshooting, cable broken, made a new cable ;Sébastien Lavanchy;
05.01.2023;11:00:00;11;Recovery/removal;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";recovery of the Tchain for maintenance;Guillaume Cunillera;
05.01.2023;11:00:00;11;Recovery/removal;"Temperature string 20m;24 x temperature;RBR concerto T24;62944";recovery of the Tchain for maintenance;Guillaume Cunillera;
11.01.2023;14:20:00;11;Deployment/reinstalled;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";new position, 24 to 93 every 3 meter;Sébastien Lavanchy;
11.01.2023;14:20:00;11;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";new temp chain, 0 to 23 every meter;Sébastien Lavanchy;
11.01.2023;15:00:00;12;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";cable com issue;Sébastien Lavanchy;
15.02.2023;08:50:00;12;Recovery/removal;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";Out for repair;Guillaume Cunillera;
15.02.2023;08:50:00;12;Recovery/removal;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";out to retreive  SN206659;Guillaume Cunillera;
15.02.2023;14:00:00;12;Repair;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Field cable repair;Michael Plüss;
15.02.2023;14:20:00;12;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Installation;Michael Plüss;
27.02.2023;09:00:00;13;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Cable  com issue;Sébastien Lavanchy;
17.03.2023;11:00:00;14;Other;"Datalogger;N/A;CR6;9276";No campbell logging, rbr log internally.;Sébastien Lavanchy;
19.04.2023;10:20:00;15;Recovery/removal;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Out to install new cable and recover data;Guillaume Cunillera;
19.04.2023;12:23:00;15;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Back in water;Guillaume Cunillera;
09.06.2023;11:00:00;16;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";No data coming;Sébastien Lavanchy;
09.06.2023;13:00:00;16;Calibration Factory;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";repair and factory calibration;Sébastien Lavanchy;20230608_tempchain_206659.pdf
13.06.2023;14:00:00;16;Repair;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Increase input voltage, reboot, seems ok;Sébastien Lavanchy;
04.07.2023;09:00:00;17;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";some sensors with bad data - 13, 16, et 22m ;Sébastien Lavanchy;
20.07.2023;13:00:00;18;Recovery/removal;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";preparation for the installation of the lower part tomorrow;Guillaume Cunillera;
07.08.2023;15:00:00;18;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";Back to water;Guillaume Cunillera;
07.08.2023;15:00:00;18;Deployment/reinstalled;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";Back to water;Guillaume Cunillera;
21.05.2024;12:00:00;19;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";1st sensor of the upper Tchain had bad data. It seems since 21/05/2024. ;Guillaume Cunillera;
24.06.2024;13:00:00;19;Repair;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";code modified : RBRTempArrayUp(1) = NAN now. Reported issue to James to delete the previous data;Guillaume Cunillera;
28.08.2024;13:00:00;19;Issue;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";"We saw during a ROV mission that one section of the upper par of the Tchain is loose. There is a ""belly"". So probably some sensors are not at the exact right depth.";Guillaume Cunillera;
09.10.2024;11:00:00;19;Recovery/removal;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";cleaning + check;Jérémy Keller;
09.10.2024;11:00:00;19;Recovery/removal;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";cleaning + check;Jérémy Keller;
09.10.2024;15:00:00;19;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";;Jérémy Keller;
09.10.2024;15:00:00;19;Deployment/reinstalled;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";;Jérémy Keller;
20.01.2025;12:00:00;20;Deployment/reinstalled;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";code modified : RBRTempArrayUp(4) and RBRTempArrayUp(22) = NAN now. ;Guillaume Cunillera;
20.01.2025;16:00:00;20;Maintenance;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";"code modified : RBRTempArrayUp(17,22) and RBRTempArrayDown(2,12,16,18,20) set to ""NaN""";Guillaume Cunillera;
07.02.2025;12:00:00;21;Recovery/removal;"Temperature string 24m;24 x temperature;RBR concerto T24;62950";;Guillaume Cunillera;
07.02.2025;12:00:00;21;Recovery/removal;"Temperature string 70m;24 x temperature;RBR concerto T24;206659";;Guillaume Cunillera;
07.02.2025;15:00:00;21;Installation;;new soundnine ;Guillaume Cunillera;
07.02.2025;15:00:00;21;Installation;;new soundnine ;Guillaume Cunillera;
